"vcfid","source","species"
"S45368","msupple","melliodora"
"S45369","msupple","melliodora"
"S45370","msupple","melliodora"
"S45371","msupple","melliodora"
"S45372","msupple","melliodora"
"S45373","msupple","melliodora"
"S45374","msupple","melliodora"
"S45375","msupple","melliodora"
"S45376","msupple","melliodora"
"S45377","msupple","melliodora"
"S45378","msupple","melliodora"
"S45379","msupple","melliodora"
"Hillgrove.turn","emag","sp. aff. magnificata"
"J.Linney","emag","baueriana"
"TLC714","emag","magnificata"
"TLC715","emag","conica"
"TLC716","emag","conica"
"TLC719","emag","conica"
"TLC720","emag","conica"
"TLC721","emag","conica"
"TLC724","emag","conica"
"TLC725","emag","conica"
"TLC726","emag","conica"
"TLC727","emag","magnificata"
"TLC728","emag","magnificata"
"TLC730","emag","magnificata"
"TLC731","emag","magnificata"
"TLC732","emag","magnificata"
"TLC733","emag","magnificata"
"TLC734","emag","magnificata"
"TLC737","emag","sp. aff. magnificata"
"TLC738-1","emag","sp. aff. magnificata"
"TLC738-2","emag","sp. aff. magnificata"
"TLC738-3","emag","sp. aff. magnificata"
"TLC738-4","emag","sp. aff. magnificata"
"TLC739","emag","sp. aff. magnificata"
"TLC740","emag","sp. aff. magnificata"
"TLC741","emag","conica"
"TLC750","emag","magnificata"
"TLC751","emag","magnificata"
"TLC752","emag","magnificata"
"TLC753","emag","magnificata"
"TLC754","emag","magnificata"
"TLC755","emag","magnificata"
"TLC756","emag","magnificata"
"TLC757","emag","magnificata"
"TLC758","emag","magnificata"
"TLC760","emag","magnificata"
"TLC761","emag","magnificata"
"TLC762","emag","magnificata"
"TLC763","emag","magnificata"
"TLC764","emag","magnificata"
"TLC766","emag","magnificata"
"TLC767","emag","magnificata"
"TLC768","emag","conica"
"TLC769","emag","conica"
"TLC770","emag","conica"
"TLC772","emag","conica"
"TLC773","emag","conica"
"TLC775","emag","conica"
"TLC776","emag","conica"
"TLC780","emag","conica"
"TLC785","emag","sp. Dalveen"
"TLC786","emag","sp. Dalveen"
"TLC787","emag","sp. Dalveen"
"TLC788","emag","sp. Dalveen"
"TLC789","emag","sp. Dalveen"
"TLC790","emag","sp. Dalveen"
"TLC791","emag","sp. Dalveen"
"TLC792","emag","sp. Dalveen"
"TLC793","emag","sp. Dalveen"
"TLC794","emag","sp. Dalveen"
"TLC795","emag","sp. Dalveen"
"TLC796","emag","sp. Dalveen"
"TLC797","emag","sp. Dalveen"
"TLC798","emag","sp. Dalveen"
"TLC799","emag","sp. Dalveen"
"TLC800","emag","sp. Dalveen"
"TLC801","emag","sp. Dalveen"
"TLC804","emag","conica"
"TLC805","emag","conica"
"TLC806","emag","conica"
"TLC807","emag","magnificata"
"TLC808","emag","magnificata"
"TLC809","emag","magnificata"
"TLC810","emag","magnificata"
"TLC811","emag","magnificata"
"TLC812","emag","magnificata"
"TLC813","emag","magnificata"
"TLC814","emag","magnificata"
"TLC815","emag","magnificata"
"TLC816","emag","magnificata"
"TLC817","emag","magnificata"
"TLC818","emag","magnificata"
"TLC819","emag","magnificata"
"TLC820","emag","magnificata"
"TLC821","emag","magnificata"
"TLC822","emag","magnificata"
"TLC823","emag","magnificata"
"TLC824","emag","magnificata"
"TLC825","emag","magnificata"
"TLC826","emag","magnificata"
"TLC827","emag","magnificata"
"TLC828","emag","magnificata"
"TLC829","emag","magnificata"
"TLC830","emag","magnificata"
"TLC831","emag","magnificata"
"TLC832","emag","baueriana"
"TLC833","emag","baueriana"
"TLC834","emag","baueriana"
"TLC835","emag","baueriana"
"TLC836","emag","baueriana"
"TLC837","emag","baueriana"
"TLC838","emag","baueriana"
"TLC839","emag","baueriana"
"TLC840","emag","baueriana"
"TLC841","emag","baueriana"
"TLC845","emag","baueriana"
"TLC846","emag","baueriana"
"TLC847","emag","baueriana"
"TLC848","emag","baueriana"
"TLC849","emag","baueriana"
"TLC850","emag","baueriana"
"TLC851","emag","baueriana"
"TLC852","emag","baueriana"
"TLC853","emag","baueriana"
"TLC854","emag","baueriana"
"TLC855","emag","baueriana"
"TLC856","emag","baueriana"
"TLC857","emag","polyanthemos"
"TLC858","emag","polyanthemos"
"TLC859","emag","polyanthemos"
"TLC861","emag","polyanthemos"
"TLC862","emag","polyanthemos"
"TLC863","emag","polyanthemos"
"TLC864","emag","polyanthemos"
"TLC865","emag","polyanthemos"
"TLC866","emag","magnificata"
"TLC868","emag","magnificata"
"TLC869","emag","magnificata"
"TLC870","emag","magnificata"
"TLC871","emag","magnificata"
"TLC872","emag","magnificata"
"TLC873","emag","magnificata"
"TLC874","emag","magnificata"
"TLC875","emag","magnificata"
"TLC876","emag","magnificata"
"TLC877","emag","magnificata"
"TLC878","emag","magnificata"
"TLC879","emag","magnificata"
"TLC880","emag","magnificata"
"TLC881","emag","magnificata"
"TLC882","emag","magnificata"
"TLC883","emag","magnificata"
"TLC884","emag","magnificata"
"TLC885","emag","magnificata"
"TLC886","emag","magnificata"
"TLC887","emag","magnificata"
"TLC888","emag","magnificata"
"TLC889","emag","magnificata"
"TLC890","emag","magnificata"
"TLC891","emag","magnificata"
"TLC892","emag","magnificata"
"TLC893","emag","magnificata"
"TLC894","emag","magnificata"
"TLC895","emag","magnificata"
"TLC896","emag","magnificata"
"TLC897","emag","magnificata"
"TLC898","emag","magnificata"
"TLC899","emag","magnificata"
"TLC900","emag","magnificata"
"TLC901","emag","magnificata"
"TLC902","emag","magnificata"
"TLC903","emag","magnificata"
"TLC904","emag","magnificata"
"TLC905","emag","magnificata"
"TLC906","emag","magnificata"
"TLC907","emag","magnificata"
"TLC908","emag","sp. aff. magnificata"
"TLC909","emag","sp. aff. magnificata"
"TLC910","emag","sp. aff. magnificata"
"TLC911","emag","sp. aff. magnificata"
"TLC912","emag","sp. aff. magnificata"
"TLC913","emag","sp. aff. magnificata"
"TLC914","emag","sp. aff. magnificata"
"TLC915","emag","sp. aff. magnificata"
"TLC916","emag","magnificata"
"TLC917","emag","magnificata"
"TLC918","emag","magnificata"
"TLC922-1","emag","sp. aff. magnificata"
"TLC922-2","emag","sp. aff. magnificata"
"TLC922-3","emag","sp. aff. magnificata"
"TLC922-4","emag","sp. aff. magnificata"
"TLC922-5","emag","sp. aff. magnificata"
"TLC939","emag","magnificata"
"TLC940","emag","magnificata"
"TLC941","emag","magnificata"
"TLC945","emag","polyanthemos"
"TLC946","emag","sp. aff. magnificata"
"TLC947","emag","sp. aff. magnificata"
"TLC948","emag","sp. aff. magnificata"
"TLC949","emag","sp. aff. magnificata"
"TLC950","emag","sp. aff. magnificata"
"J417","proj1","crebra"
"NE-odo","proj1","odorata"
"J383","proj1","polyanthemos"
"J328","proj1","moluccana"
"J373","proj1","melliodora"
"J342","proj1","sideroxylon"
"J355b","proj1","sideroxylonXmicrocarpa"
"J327","proj1","crebra"
"J303","proj1","albens"
"J362-young","proj1","sideroxylon"
"J333","proj1","caleyi"
"J375","proj1","melliodora"
"J334","proj1","moluccana"
"2:TLC720","proj1","conica"
"J355","proj1","sideroxylon"
"J316","proj1","crebra"
"J432","proj1","fibrosa"
"J301","proj1","sideroxylon"
"2:TLC725","proj1","conica"
"J363","proj1","microcarpa"
"J427","proj1","caleyi"
"J421","proj1","sideroxylon"
"J335","proj1","microcarpa"
"J403","proj1","caleyi"
"J298","proj1","sideroxylon"
"J371","proj1","fibrosa"
"J411","proj1","fibrosa"
"MelMosaicMerged","proj1","melliodora"
"J352","proj1","sideroxylon"
"J345","proj1","albens"
"J320","proj1","moluccana"
"J405","proj1","sideroxylon"
"J374","proj1","albens"
"J369","proj1","caleyi"
"J349","proj1","albens"
"2:TLC726","proj1","conica"
"J395","proj1","albensXmicrocarpa"
"J318","proj1","melliodora"
"J393","proj1","albens"
"J368","proj1","caleyi"
"J330","proj1","fibrosa"
"J427a","proj1","caleyi"
"J404","proj1","caleyi"
"J351","proj1","polyanthemos"
"NBJ30","proj1","microcarpa"
"J359","proj1","sideroxylon"
"J321g","proj1","crebra"
"NAL05","proj1","microcarpa"
"J367i","proj1","sideroxylonXmoluccana"
"J347","proj1","polyanthemos"
"J360","proj1","conica"
"J420","proj1","moluccana"
"J344","proj1","polyanthemos"
"J307","proj1","crebra"
"J311","proj1","fibrosa"
"J381","proj1","polyanthemos"
"J399","proj1","leucoxylon"
"J294","proj1","albens"
"J407","proj1","fibrosa"
"J400","proj1","moluccana"
"J412","proj1","moluccana"
"J376","proj1","albens"
"J296","proj1","melliodora"
"NCR13","proj1","microcarpa"
"VWG14","proj1","microcarpa"
"J392","proj1","tricarpa"
"J423","proj1","moluccana"
"J431","proj1","crebra"
"J402","proj1","caleyi"
"J419","proj1","albens"
"J413","proj1","albens"
"J424","proj1","albens"
"J338","proj1","conica"
"RA1006","proj1","albens"
"J414","proj1","albens"
"J329","proj1","conica"
"J398","proj1","leucoxylon"
"J408","proj1","crebra"
"J401","proj1","sideroxylon"
"J361","proj1","albens"
"VMA18","proj1","microcarpa"
"J353","proj1","polyanthemos"
"J340","proj1","melliodora"
"J331","proj1","crebra"
"J326","proj1","moluccana"
"J370","proj1","fibrosa"
"J397","proj1","leucoxylon"
"J406","proj1","albens"
"J366","proj1","fibrosa"
"J416","proj1","sideroxylon"
"J389","proj1","polyanthemos"
"2:TLC775","proj1","conica"
"J379","proj1","polyanthemos"
"J341","proj1","albens"
"J339","proj1","moluccana"
"J346","proj1","melliodora"
"NDU10","proj1","microcarpa"
"J343","proj1","crebra"
"J365","proj1","melliodora"
"J348","proj1","polyanthemos"
"J364","proj1","conica"
"J350","proj1","albens"
"NE-wool","proj1","woolsiana"
"J418","proj1","sideroxylon"
"J422","proj1","sideroxylon"
"J319","proj1","melliodora"
"J367","proj1","sideroxylon"
"J358","proj1","melliodora"
"J310","proj1","populnea"
"J333a","proj1","caleyi"
"NE-por","proj1","porosa"
"J322","proj1","fibrosa"
"J315","proj1","fibrosa"
"J387","proj1","sideroxylon"
"J324","proj1","conica"
"FDK10","proj1","microcarpa"
"2:TLC715","proj1","conica"
"J385","proj1","sideroxylon"
"NCD30","proj1","microcarpa"
"J354","proj1","moluccana"
"J372","proj1","polyanthemos"
"J357","proj1","melliodora"
"J317","proj1","crebra"
